@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
208518509;node;44.9144077;9.1910799;21385;;Occhio al Prezzo;Bar L'Alpino di Montagna Antonella;21385;Benzina;2.15;0;27/07/2025 06:08:52;Red
227013247;node;45.1014190;8.7458090;10833;Eni;Eni;Pampuri Emiliano;10833;Benzina;1.759;1;02/08/2025 06:46:16;Yellow
227013658;node;45.1985867;9.1811840;17612;Eni;Agip;Pischedda Andrea;17612;Benzina;1.759;1;02/08/2025 00:24:51;Yellow
227013986;node;44.9954932;8.9857142;13825;Eni;Eni;Cattani Lauretta;13825;Benzina;1.749;1;02/08/2025 00:20:15;Yellow
227014603;node;45.3258389;8.8755964;17443;Agip;Agip;Iovane Michele;17443;Benzina;1.744;1;02/08/2025 07:32:20;Yellow
227014961;node;45.1931029;9.1666342;30084;Eni;Agip;Pischedda Andrea;30084;Benzina;1.759;1;02/08/2025 07:32:18;Yellow
227015438;node;45.3052351;8.8528719;58809;Eni;Eni;;58809;Benzina;1.689;1;02/08/2025 00:24:52;Green
227549319;node;44.9991565;9.0690754;24149;;Iper;Iper Montebello S.P.A.;24149;Benzina;1.604;1;01/08/2025 17:16:01;Green
227549320;node;44.9781488;9.0081271;13335;Total Erg;Erg;Sbarra Mauro;13335;Benzina;1.679;1;30/07/2025 07:39:27;Green
227549325;node;44.9971095;8.9767038;22291;IP;Erg;Gestioni Europa - Società Per Azioni;22291;Benzina;1.659;1;01/08/2025 09:06:01;Green
227552619;node;45.0078381;9.1096902;11788;Q8;Q8;Servizi & Gestioni Italia S.R.L.;11788;Benzina;1.639;1;31/07/2025 07:05:48;Green
227552833;node;44.9868746;8.9933781;24415;;Restiani;;24415;Benzina;1.699;1;01/08/2025 16:38:39;Green
227553016;node;44.9949375;8.9890052;40596;IP;Api;Gruppo Sam Snc di Sudesh Kumar & C.;40596;Benzina;1.659;1;29/07/2025 08:32:14;Green
227555087;node;44.9428496;9.0121062;7685;Esso;IP;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;7685;Benzina;1.725;1;02/08/2025 06:00:58;Green
