@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
221915621;node;46.4847474;11.2941725;20257;Q8;Q8;Eisenstecken Stefan;20257;Metano;1.599;1;07/08/2025 09:00:45;Red
221915626;node;46.4714786;11.3168626;54780;Shell;Shell;Multi Energy di Haimo Staffler & Co., Kg - S.A.S.;54780;Metano;1.6;1;06/08/2025 11:52:58;Red
226900118;node;45.3698910;11.8994380;34904;Agip Eni;Eni;Mix S.N.C. di Businaro Luca & C.;34904;Metano;1.289;1;08/08/2025 07:02:45;Green
226902457;node;43.2187730;11.7557137;29210;Eni;Agip;Garosi Leonardo e Torelli Alessandro & C. S.N.C.;29210;Metano;1.499;0;07/08/2025 06:48:02;Orange
226910754;node;44.8763810;7.3534150;41678;Tamoil;Tamoil;T.D.M. S.R.L.;41678;Metano;1.139;1;07/08/2025 16:18:24;Green
226912500;node;44.4125772;7.5523977;59137;Eni;Eni;Eni Fuel S.p.A.;59137;Metano;1.452;0;08/08/2025 07:34:15;Orange
226913749;node;40.7787509;14.7326533;9630;Ies;IES;Efuel - S.R.L.;9630;Metano;1.369;0;06/08/2025 13:11:45;Yellow
226922669;node;43.4167151;11.8480895;5333;Eni;Eni;Laurenzi Ermanno;5333;Metano;1.447;0;08/08/2025 00:10:38;Orange
226927873;node;46.1415285;11.0874507;48237;Tamoil;Tamoil;Salvetti Rete S.R.L.;48237;Metano;1.259;0;08/08/2025 00:11:12;Green
226928193;node;46.1405850;11.0857120;51566;Eni;Eni;Eni Fuel S.p.A.;51566;Metano;1.417;0;08/08/2025 00:24:01;Orange
226932039;node;45.5313997;11.9633234;5195;San Marco Petroli;;San Marco Petroli Distribuzione S.R.L.;5195;Metano;1.349;0;07/08/2025 12:04:05;Yellow
226936653;node;45.4432680;9.1186520;46920;;Gpl Metano;Costa e Granata S.R.L.;46920;Metano;1.599;0;04/08/2025 11:15:36;Red
226936658;node;43.7039936;11.4495213;30204;Agip;Agip;M.A.B.E Service di Aglietti Marco e Barbieri Emiliano S.N.C.;30204;Metano;1.499;0;08/08/2025 07:16:28;Orange
226992080;node;45.1379797;7.7420121;3987;Eni;Eni;Eni;3987;Metano;1.55;0;08/08/2025 00:24:23;Red
226992263;node;45.1901110;7.8809040;37909;Agip;Eni;Bertola Simone;37909;Metano;1.499;0;07/08/2025 06:35:03;Orange
226993139;node;45.1002680;7.7065930;58557;Eni;Eni;Eni Fuel S.p.A.;58557;Metano;1.314;0;08/08/2025 07:34:36;Green
226993818;node;45.4856925;7.8631383;6032;Agip Eni;Agip;Zancanella Massimo;6032;Metano;1.447;0;08/08/2025 07:10:24;Orange
226995046;node;44.9811298;7.6452868;3626;Eni;Eni;S.A.G.I. Società a Responsabilità Limitata S.R.L. Siglabile S.A.G.I. S.R.L.;3626;Metano;1.517;1;08/08/2025 05:56:11;Red
226998595;node;44.9047674;8.1778740;51724;Eni;Eni;Pv 1480 – Asti;51724;Metano;1.452;0;08/08/2025 07:32:10;Orange
227001340;node;45.6795501;9.6134958;4981;Eni;Eni;Ma.Pi. S.N.C. Dei F.lli Cornago;4981;Metano;1.252;0;08/08/2025 03:50:08;Green
227004059;node;45.5742447;9.3944919;24292;Eni;Eni;Superservice Snc Dei F.lli Cantarelli;24292;Metano;1.485;0;08/08/2025 05:32:10;Orange
227004781;node;45.3205300;9.3764450;43690;Q8;Q8;Gias S.R.L.;43690;Metano;1.464;0;07/08/2025 14:30:20;Orange
227005363;node;45.4802808;9.1011243;42445;Agip;Agip;De Zolt Ponte Silvio Mario;42445;Metano;1.467;0;08/08/2025 07:22:04;Orange
227012874;node;45.4008984;9.1224572;3503;Q8;Q8;Le Mans Service S.R.L.;3503;Metano;1.799;0;07/08/2025 11:06:22;Red
227019765;node;45.6458873;8.7492842;4720;Agip;Area di servizio Malpensa Est;Garbini S.R.L.;4720;Metano;1.499;0;08/08/2025 07:00:04;Orange
227024032;node;45.3157830;11.8256411;3862;Eni;Eni;Eni Fuel S.P.A.;3862;Metano;1.444;0;08/08/2025 00:23:58;Orange
227024594;node;45.1132540;11.8575950;33652;Agip Eni;Agip;Aurora S.A.S. di Lideo Diego & C.;33652;Metano;1.389;0;07/08/2025 06:40:13;Yellow
227026873;node;45.4397362;10.8503713;24858;Eni;Eni;Bertasi Alfeo di Bertasi Alfeo e Figli S.N.C.;24858;Metano;1.234;0;04/08/2025 00:26:20;Green
227505344;node;44.9366699;7.9483366;52823;DIS-CAR;;Dis-Car di Sarra Paolo & C. S.N.C.;52823;Metano;1.499;0;08/08/2025 07:28:18;Orange
227516757;node;45.2909100;11.0848700;41976;;;First S.R.L. - Fraz. Villafontana;41976;Metano;1.499;0;04/08/2025 12:00:18;Orange
227518122;node;45.2941544;7.7459833;23248;Tamoil;Tamoil;G.A.D. Feletto;23248;Metano;1.399;0;07/08/2025 11:17:52;Yellow
227529155;node;45.4450461;12.2047487;31450;Vega;Vega;Vega Carburanti S.p.A.;31450;Metano;1.299;0;06/08/2025 21:22:44;Green
227529164;node;40.8958360;14.2146040;34520;Agip Eni;;Varriale Giovanni;34520;Metano;1.329;0;08/08/2025 07:48:12;Green
227532150;node;42.5687151;12.6629465;34032;Esso;Esso;Enerpetroli S.R.L.;34032;Metano;1.297;0;07/08/2025 16:14:40;Green
227532721;node;45.0985940;11.7856910;36518;IES;IES;Omnigess Group Società a Responsabilità Limitata Semplificata;36518;Metano;1.399;0;02/08/2025 11:30:05;Yellow
227539738;node;43.5190913;13.5288281;6601;Q8;Q8;Servizi & Gestioni Italia S.R.L.;6601;Metano;1.379;0;06/08/2025 13:34:37;Yellow
227540104;node;45.6233760;9.4785890;6428;Q8;Q8;Servizi & Gestioni Italia Srl;6428;Metano;1.349;0;07/08/2025 01:06:36;Yellow
227545153;node;41.8639823;12.5314832;30639;IP;IP;Globogest S.R.L.;30639;Metano;1.899;0;31/07/2025 16:32:22;Red
227546289;node;45.1260600;7.7039000;42836;Tamoil;Tamoil;T.D.M. S.R.L.;42836;Metano;1.299;0;07/08/2025 13:18:11;Green
227553016;node;44.9949375;8.9890052;40596;IP;Api;Gruppo Sam Snc di Sudesh Kumar & C.;40596;Metano;1.369;0;07/08/2025 19:15:15;Yellow
227554169;node;44.9037330;8.3645650;7194;Esso;Crocetta Sud;Ponassi S.N.C. di Ponassi Massimigliano & C.;7194;Metano;1.419;0;07/08/2025 20:08:57;Orange
227558365;node;45.1567430;10.8418110;10976;Q8;Q8;Mazzola & Bignardi S.p.A.;10976;Metano;1.399;0;08/08/2025 06:15:55;Yellow
227566575;node;45.0851660;11.6080483;20343;IES;IES;Metanifera Lendinarese S.R.L.;20343;Metano;1.359;0;08/08/2025 07:15:07;Yellow
227569590;node;45.4394753;9.1525764;30890;Q8;Q8;Servizi & Gestioni Italia S.R.L.;30890;Metano;1.599;0;08/08/2025 07:37:58;Red
227574450;node;44.9178945;8.7002638;40820;;;Stoil S.R.L.;40820;Metano;1.139;0;08/08/2025 00:00:47;Green
227577469;node;44.7042160;10.8490418;3894;Eni;;Balasso Claudio e C. S.N.C.;3894;Metano;1.629;0;08/08/2025 00:23:28;Red
227578258;node;40.9685900;14.8390530;27565;Metano;Metano;*Emmegi Gas - S.R.L.;27565;Metano;1.399;0;07/08/2025 16:19:26;Yellow
227583605;node;44.7027376;10.8476127;3887;Agip Eni;;Ve.Ca. Petroli di Venturelli Carlo & C. Società in Accomandita Semplice;3887;Metano;1.547;0;08/08/2025 00:23:25;Red
227604643;node;44.8258386;10.3795731;3618;Agip Eni;;Anna Ferrua S.A.S.;3618;Metano;1.505;0;08/08/2025 00:23:37;Red
227611528;node;44.3867070;12.1956930;14304;Agip Eni;Agip;Ravegnana Carburanti di Brocchi Wudi e C. S.N.C.;14304;Metano;1.289;0;04/08/2025 13:32:03;Green
227611946;node;45.1473150;8.9901698;29714;Q8;Q8;Acistar Nove S.R.L.;29714;Metano;1.799;0;07/08/2025 06:26:31;Red
227620484;node;45.1724151;9.1449253;14699;Metano;Metano;Metano Pavia di Guastoni Alessandro e C. S.N.C.;14699;Metano;1.529;0;08/08/2025 06:08:21;Red
227638735;node;45.3964048;11.0269283;45377;Toil;Toil;Toil S.p.A.;45377;Metano;1.349;0;08/08/2025 06:40:03;Yellow
227640026;node;45.4089691;9.1749225;37696;Vega;Vega;Vega Carburanti S.p.A.;37696;Metano;1.359;0;06/08/2025 21:26:32;Yellow
227647748;node;44.9005110;11.4047850;14803;;Reno Gas Energy;;14803;Metano;1.499;0;06/08/2025 08:32:23;Orange
227650700;node;44.8779210;8.3216290;44834;Tamoil;Tamoil;T.D.M. S.R.L.;44834;Metano;1.299;0;07/08/2025 13:18:19;Green
227652703;node;43.3457551;12.9429419;5153;Metano;Metano;Bieffe S.A.S. Distributore Metano di Fratoni Mariano e C.;5153;Metano;1.299;0;07/08/2025 18:54:59;Green
227719536;node;44.5199523;11.3620858;10937;Q8;Q8;Sprint Gas - S.p.A.;10937;Metano;1.299;0;07/08/2025 08:14:48;Green
227720536;node;44.4814620;11.6281810;21241;Indipendent;Nardi e Tabellini S.R.L.;Nardi e Tabellini S.R.L.;21241;Metano;1.279;0;06/08/2025 09:46:46;Green
227720726;node;44.4402887;11.3525498;4127;Q8;Q8;Della Porta Massimo & C. S.N.C.;4127;Metano;1.299;0;08/08/2025 00:20:32;Green
227720916;node;44.4698472;11.4186762;12969;REL;REL;;12969;Metano;1.259;0;08/08/2025 00:14:58;Green
227723411;node;44.8951490;11.0432020;16693;Api-Ip;;Fabbri Marco;16693;Metano;1.277;0;08/08/2025 08:14:40;Green
227724044;node;44.6541905;10.9570484;14165;;;Ce. Lav S.R.L.;14165;Metano;1.389;0;08/08/2025 07:04:17;Yellow
227725925;node;44.7743600;10.4106350;33689;;;Mattiazzi Luca;33689;Metano;1.389;0;06/08/2025 13:04:59;Yellow
227727264;node;44.4075320;12.2267360;28476;;TAP;Cema di Marchetti Loredana e Mancini Felice e C. S.N.C.;28476;Metano;1.289;0;08/08/2025 07:02:40;Green
227728046;node;44.7199830;10.6427710;44264;Ego;Ego;Suncar di Ferrari Davide;44264;Metano;1.499;0;07/08/2025 09:02:30;Orange
227731294;node;43.7244830;10.8209970;35444;;;Neri Luca;35444;Metano;1.599;0;04/08/2025 19:16:25;Red
227739748;node;43.2825287;13.6836214;50041;Gep carburanti;Q8;Gep Carburanti;50041;Metano;1.269;0;06/08/2025 15:50:22;Green
227747821;node;45.3356554;11.9050848;30411;;;Rigato Umberto Carburanti S.A.S di Sartore Gianfranco e Salmaso Silvia;30411;Metano;1.299;0;06/08/2025 16:46:17;Green
227762406;node;45.5101241;11.3922536;30384;Agip;Agip;Cucagas - S.R.L.;30384;Metano;1.395;0;07/08/2025 11:40:08;Yellow
