@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
31298257;node;41.1671338;14.8833204;27301;;;Cu.Ma. Service S.A.S. di Mazzeo Marco & C.;;;;;;Blue
31439409;node;45.0732478;11.7793996;39355;Esso;Esso;Feriotto Ivan;;;;;;Blue
81731799;node;44.4499303;8.9728678;21390;Europam;Planet Oil Via Emilia;Planet Oil Srl;;;;;;Blue
81733329;node;44.4538209;8.9799492;30926;Api-Ip;G.M. di Gugino Vincenzo & C. snc;Ip Services S.R.L.;;;;;;Blue
81733423;node;44.4545739;8.9848548;40277;Eni;Eni Molassana 01068;Parasiliti Antonello;;;;;;Blue
95754782;node;45.4982699;9.1673143;6368;COIL;COIL;Suisse Pal Trading di Pal Rakesh e C. S.A.S.;;;;;;Blue
96047693;node;44.5298326;8.9404225;3716;Esso;Campora Est;;;;;;;Blue
107989970;node;43.3322627;11.3142734;4389;Eni;Eni;Landi & Poggialini S.N.C.;;;;;;Blue
154858257;node;45.0700108;11.7855874;35458;Sia fuel;;S.I.A. Engineering Construction S.R.L.;;;;;;Blue
155609412;node;44.4074001;8.9779852;33453;Esso;Esso;Zanoni Pierluigi;;;;;;Blue
173289410;node;44.4053954;8.9695496;14911;Agip Eni;Agip;Repetti Roberto;;;;;;Blue
187053794;node;44.3977229;8.9489145;35223;Agip Eni;;Due Esse S.R.L.;;;;;;Blue
187168238;node;44.4004185;8.9879153;10973;Europam;Europam;Maddalena Stefano;;;;;;Blue
187170492;node;44.3924299;9.0083786;25647;Api-Ip;;Stazione di Servizio Antonella di Gaglione Raimondo Danilo e C. - Società in Accomandita Semplice;;;;;;Blue
201641600;node;44.4105046;8.9030834;5942;IP;IP;Gestioni Europa S.P.A.;;;;;;Blue
203730960;node;44.4070840;8.8981259;22187;Q8;Q8;Perassolo S.A.S. di Perassolo Patrizia;;;;;;Blue
205299079;node;44.4204957;8.9499666;15739;Agip Eni;;Marenco Daniel & C. - Società in Nome Collettivo di Daniel Marenco e C.;;;;;;Blue
206120272;node;44.4056152;8.9806431;22030;IP;IP;Distributore IP di Rocca Ciro;;;;;;Blue
206248676;node;44.4251662;8.8253368;29457;Esso;Esso;G. L. M. Service S.N.C. di Vargiu Luigi & C.;;;;;;Blue
207204775;node;40.8085077;15.1148376;13549;Q8;Q8;Alp di Pasquale Giuseppe e C. S.A.S.;;;;;;Blue
208854524;node;44.1143877;9.8391164;20017;Eni;Eni;Stretti Roberto Distributore Agip;;;;;;Blue
211067589;node;44.4348495;8.8857782;26128;Agip Eni;;Eni Fuel S.p.A.;;;;;;Blue
211123232;node;44.4340835;8.8930586;15907;Tamoil;Tamoil;Bruzzone & Imareti Società in Nome Collettivo di Sergio Bruzzone e Paolo Imareti;;;;;;Blue
211263201;node;44.4013500;8.9542292;16210;Agip Eni;;Maugeri Francesco;;;;;;Blue
215541291;node;45.4102934;11.9071960;27813;Esso Express;Esso Express;G.I.Car. S.A.S. di Bergamin Nicola & C.;;;;;;Blue
215930623;node;45.3899663;11.8710199;14279;Esso;Esso;Martinello Cesarino & Massimo S.N.C.;;;;;;Blue
215930626;node;45.3900393;11.8795466;53305;Major;Agip;Braghetta S.A.S. di Braghetta Luigi & C.;;;;;;Blue
215935601;node;45.3894674;11.8667993;22936;Esso;Esso;Defa S.A.S. di Favarato Bruno Moreno & C. Con sigla Defa S.A.S.;;;;;;Blue
215935602;node;45.3944973;11.8654695;11382;Api-Ip;Api;Fecchio Amedeo;;;;;;Blue
215969926;node;45.4192166;11.8726224;33420;Tamoil;Tamoil;Lalinma di Muthuwadige Chanaka Rishantha Fernando;;;;;;Blue
216017522;node;44.4046659;8.9552518;43437;Agip Eni;;D.A.R.M. Petroli S.R.L.;;;;;;Blue
218384707;node;44.4251041;8.8250043;25364;Q8;Q8;Barisone S.A.S. di Barisone Paola & C.;;;;;;Blue
218404262;node;46.1402785;12.1810909;17475;;Azzalini;Brasil Carburante di Fongaro Sergio;;;;;;Blue
218404267;node;46.0839893;12.1426554;29028;Repsol;Repsol;Lo Scrigno S.A.S. di Dal Magro Calua & C.;;;;;;Blue
218966871;node;44.4199462;8.8586402;39536;Agip Eni;;Crovetti Alberto;;;;;;Blue
221915633;node;46.0958746;11.0974041;15810;Eni;ENI;G. & M. di Ferrato Greta & C. S.A.S.;;;;;;Blue
221922466;node;46.0448287;11.4228045;39464;Agip Eni;;G.M. di Grigore Marian;;;;;;Blue
226754311;node;45.7916281;12.1584135;6261;Q8;Q8;Smile di Torresan Graziella;;;;;;Blue
226899332;node;45.3628200;11.8705880;31190;Esso;Esso;Mix S.N.C. di Businaro Luca & C.;;;;;;Blue
226899456;node;45.7437792;11.5230087;6339;Agip Eni;Eni;F.lli Simonato Mario Antonio e Giovanni S.N.C.;;;;;;Blue
226900120;node;45.1696019;9.9691345;25914;Eni;Eni Station;Bar Tre Ponti Snc di Cremaschini Renato & C.;;;;;;Blue
226900121;node;44.4800789;12.2756869;4589;;Robgas;Fuel Point S.R.L.;;;;;;Blue
226901362;node;45.6959074;11.4833572;17320;Agip Eni;Agip;Stazione di Servizio Agip di Nardello Remo;;;;;;Blue
226901784;node;44.8169668;11.6077209;5938;IP;IP;Gestioni Europa S.P.A.;;;;;;Blue
226902048;node;38.1593920;13.3243130;36837;Eni;Agip;G P Società a Responsabilità Limitata e in abbreviazione G P S.R.L.;;;;;;Blue
226902165;node;45.6548060;9.1301100;21040;IP;IP;;;;;;;Blue
226902920;node;45.6514430;9.6329280;;Agip;Agip;Agip;;;;;;Blue
226903084;node;41.0014021;16.8809202;;Agip;Agip;Agip;;;;;;Blue
226903244;node;44.8254960;11.6706450;4992;Total Erg;Total;Stazione di Servizio Totalerg di Pesci Cristiano;;;;;;Blue
226903267;node;44.7846290;10.2929860;29469;Esso;Esso;Rome S.N.C. di Ali A., Iqbal N. e Rome I.;;;;;;Blue
226903297;node;45.4221285;11.8748037;17450;Tamoil;Tamoil;Nalotto Daniele;;;;;;Blue
226903470;node;45.0024150;7.6630600;39814;Total;Total;Carone Sandro;;;;;;Blue
226903483;node;41.9092560;12.4176570;14364;Eni;Eni;Orsi Secondo;;;;;;Blue
226903493;node;41.8611696;12.5332808;39322;IP;IP;Ipna Petroli Società a Responsabilità Limitata;;;;;;Blue
226904007;node;45.5552450;10.0120000;33360;IP;IP;Bertolani Giuseppe;;;;;;Blue
226905078;node;44.6546003;7.4881221;59360;Esso;Stazione di servizio Esso;Filomeno Paolo;;;;;;Blue
226905520;node;45.7591372;11.7726158;21583;Eni;Eni;Frigo f.lli S.N.C. di Frigo Cesare Lino, Danilo & Giovanni;;;;;;Blue
226905869;node;45.5259142;9.1934391;15820;Tamoil;Tamoil;Autoservice di Giovanni D'aloia S.A.S.;;;;;;Blue
226906012;node;44.7425270;7.4762820;47032;Tamoil;;Elettro Tec di Rossetti Roberto;;;;;;Blue
226906338;node;45.4526877;10.5214300;38477;Eni;Eni;Shveda Lyubov;;;;;;Blue
226906532;node;45.4671831;10.5447588;38314;Esso;Esso;Meccanico Marmitte di Pellegrini Nicola;;;;;;Blue
226906818;node;44.8750880;7.3333310;34999;Eni;Agip;Grosso Giuseppe;;;;;;Blue
226907165;node;45.5459614;8.9099470;31151;Repsol;Repsol;Cornaredo Carburanti S.R.L.;;;;;;Blue
226907345;node;45.4168890;9.2052980;39503;Sia Fuel;Maxcom;S.I.A. Engineering Construction S.R.L.;;;;;;Blue
226907867;node;42.9436690;10.5373050;36746;Eni;Eni;Piacentini Paola & C S.N.C.;;;;;;Blue
226908016;node;44.9049358;7.4346947;;IP;TotalErg;TotalErg;;;;;;Blue
226911947;node;40.8190657;14.3485917;40192;Tamoil;Tamoil;Carmine Petrone;;;;;;Blue
226912127;node;41.8606840;12.4428110;17904;Esso;Esso;Zaki Oil di Zaki Valentina e C. S.N.C.;;;;;;Blue
226912659;node;43.8623700;10.7690000;4208;;4 Petroli;Joe & Leo S.N.C. di Cammareri Giovanni e Leonardo;;;;;;Blue
226914361;node;41.8795588;12.4401780;10742;Eni;Agip;Tucci Claudio;;;;;;Blue
226914536;node;43.9930685;12.6443445;30450;Agip Eni;;Maestri S.p.A.;;;;;;Blue
226914653;node;40.5338239;17.5810183;;Agip;Agip;Agip;;;;;;Blue
226914688;node;41.1051768;16.8500325;34870;IP;IP;Gestioni Europa - Società Per Azioni;;;;;;Blue
226914693;node;45.5722510;12.0035930;36637;Tamoil;Tamoil;Favaro Michele;;;;;;Blue
226914989;node;43.8783517;10.7877492;34516;Eni;Eni;Autodelta di Biagini Marzio Officina Gommista Elettrauto;;;;;;Blue
226914995;node;43.8860771;10.7614888;;Eni;Eni;Eni;;;;;;Blue
226915344;node;45.6671209;11.8394447;9328;Q8;Q8;Trentin-Oil di Trentin Giuseppe & C. S.N.C.;;;;;;Blue
226915486;node;45.6659460;11.8878940;22613;Trivengas;Trivengas;Geremia Ercole;;;;;;Blue
